Name,Time,Cumulative PnL
OfiStrategy,2022-May-02 13:30:15.046874,-3632.633808
OfiStrategy,2022-May-02 13:31:15.093508,-3007.969056
OfiStrategy,2022-May-02 13:32:15.116720,3756.500144
OfiStrategy,2022-May-02 13:33:15.144713,1978.820144
OfiStrategy,2022-May-02 13:34:15.200670,4711.500144
OfiStrategy,2022-May-02 13:35:15.228720,-23002.899856
OfiStrategy,2022-May-02 13:36:15.267361,-53856.139856
OfiStrategy,2022-May-02 13:37:15.391653,-64047.088656
OfiStrategy,2022-May-02 13:38:15.658821,-115551.417856
OfiStrategy,2022-May-02 13:39:15.732578,-96285.417856
OfiStrategy,2022-May-02 13:40:15.806322,-43625.017856
OfiStrategy,2022-May-02 13:41:15.858150,-97779.897856
OfiStrategy,2022-May-02 13:42:15.921532,27943.102144
OfiStrategy,2022-May-02 13:43:16.149053,215865.902144
OfiStrategy,2022-May-02 13:44:16.227785,287329.502144
OfiStrategy,2022-May-02 13:45:16.304894,121904.502144
OfiStrategy,2022-May-02 13:46:16.317664,107347.102144
OfiStrategy,2022-May-02 13:47:16.318754,205278.702144
OfiStrategy,2022-May-02 13:48:16.485175,199985.102144
OfiStrategy,2022-May-02 13:49:16.592228,184104.302144
OfiStrategy,2022-May-02 13:50:16.624777,83525.902144
OfiStrategy,2022-May-02 13:51:16.704947,109993.902144
OfiStrategy,2022-May-02 13:52:16.736292,213219.102144
OfiStrategy,2022-May-02 13:53:16.857603,266155.102144
OfiStrategy,2022-May-02 13:54:16.918874,270125.302144
OfiStrategy,2022-May-02 13:55:16.966925,177487.302144
OfiStrategy,2022-May-02 13:56:16.992088,307180.502144
OfiStrategy,2022-May-02 13:57:17.037207,364888.922947
OfiStrategy,2022-May-02 13:58:17.111686,308367.574787
OfiStrategy,2022-May-02 13:59:17.126678,336114.774787
OfiStrategy,2022-May-02 14:00:17.311016,192553.174787
OfiStrategy,2022-May-02 14:01:17.332527,367481.174787
OfiStrategy,2022-May-02 14:02:17.392664,281826.774787
OfiStrategy,2022-May-02 14:03:17.442348,327669.974787
OfiStrategy,2022-May-02 14:04:17.476498,295097.174787
OfiStrategy,2022-May-02 14:05:17.604412,304748.374787
OfiStrategy,2022-May-02 14:06:17.627533,163599.574787
OfiStrategy,2022-May-02 14:07:17.669089,87596.374787
OfiStrategy,2022-May-02 14:08:17.914234,110517.974787
OfiStrategy,2022-May-02 14:09:17.967368,56229.974787
OfiStrategy,2022-May-02 14:10:18.008785,55023.574787
