Name,Time,Cumulative PnL
AS,2019-Jan-30 14:30:07.090500,-32.1792
AS,2019-Jan-30 14:31:07.637473,-422.0388
AS,2019-Jan-30 14:32:08.829895,344.3708
AS,2019-Jan-30 14:33:09.426106,546.436
AS,2019-Jan-30 14:34:09.615772,-1845.438
AS,2019-Jan-30 14:35:10.151375,360.4508
AS,2019-Jan-30 14:36:11.111589,931.1128
AS,2019-Jan-30 14:37:11.397669,294.2672
AS,2019-Jan-30 14:38:11.722256,-2301.88
AS,2019-Jan-30 14:39:12.424850,2354.943201
AS,2019-Jan-30 14:40:13.430313,3502.0428
AS,2019-Jan-30 14:41:13.588333,-3661.8316
AS,2019-Jan-30 14:42:13.958034,-8931.6328
AS,2019-Jan-30 14:43:14.168802,-6235.138
AS,2019-Jan-30 14:44:14.283568,-12476.2312
AS,2019-Jan-30 14:45:14.477771,-9804.099201
AS,2019-Jan-30 14:46:15.640547,-12624.198
AS,2019-Jan-30 14:47:16.107465,-10633.1316
AS,2019-Jan-30 14:48:17.460146,-20614.7924
AS,2019-Jan-30 14:49:17.679118,-22222.0424
AS,2019-Jan-30 14:50:17.907183,-19749.4648
AS,2019-Jan-30 14:51:18.177346,-19027.0584
AS,2019-Jan-30 14:52:18.341640,-20926.4568
AS,2019-Jan-30 14:53:19.632846,-24668.1452
AS,2019-Jan-30 14:54:20.727659,-20957.6076
AS,2019-Jan-30 14:55:21.107066,-13403.2364
AS,2019-Jan-30 14:56:21.766089,-31432.2128
AS,2019-Jan-30 14:57:22.580637,-34652.7
AS,2019-Jan-30 14:58:23.036622,-44352.6344
AS,2019-Jan-30 14:59:24.072414,-44400.6144
AS,2019-Jan-30 15:00:25.004091,-52242.474
AS,2019-Jan-30 15:01:25.768608,-44329.7796
AS,2019-Jan-30 15:02:25.972144,-46709.738
AS,2019-Jan-30 15:03:26.121905,-70522.804
AS,2019-Jan-30 15:04:27.411601,-68152.246
AS,2019-Jan-30 15:05:29.118050,-80716.8708
AS,2019-Jan-30 15:06:29.722073,-57966.722
AS,2019-Jan-30 15:07:30.004826,-60599.2564
AS,2019-Jan-30 15:08:30.128096,-56720.4316
AS,2019-Jan-30 15:09:31.049355,-61994.0384
AS,2019-Jan-30 15:10:31.590906,-64772.7184
AS,2019-Jan-30 15:11:32.531493,-51352.7048
AS,2019-Jan-30 15:12:32.941268,-32478.1944
AS,2019-Jan-30 15:13:33.324668,-28390.2072
AS,2019-Jan-30 15:14:33.774329,-38148.888
AS,2019-Jan-30 15:15:34.495555,-45343.4036
AS,2019-Jan-30 15:16:35.107448,-36816.0188
AS,2019-Jan-30 15:17:36.898306,-57096.2624
AS,2019-Jan-30 15:18:38.643451,-79257.1468
AS,2019-Jan-30 15:19:39.062437,-56880.5928
AS,2019-Jan-30 15:20:39.388915,-40397.1564
AS,2019-Jan-30 15:21:40.675993,-44984.6132
AS,2019-Jan-30 15:22:41.377996,-34335.0496
AS,2019-Jan-30 15:23:41.670377,-37435.518
AS,2019-Jan-30 15:24:43.648669,-40561.5844
AS,2019-Jan-30 15:25:45.175177,-25000.9464
AS,2019-Jan-30 15:26:45.551610,-20395.2636
AS,2019-Jan-30 15:27:46.304969,-29927.4372
AS,2019-Jan-30 15:28:48.621971,-23581.1896
AS,2019-Jan-30 15:29:49.192004,-15650.924
AS,2019-Jan-30 15:30:49.541900,1932.837198
AS,2019-Jan-30 15:31:52.166074,-2914.367203
AS,2019-Jan-30 15:32:53.825021,6764.837197
AS,2019-Jan-30 15:33:54.459091,13220.1692
AS,2019-Jan-30 15:34:55.772300,40.948397
AS,2019-Jan-30 15:35:59.522155,-1649.256404
AS,2019-Jan-30 15:37:00.023051,6682.548796
AS,2019-Jan-30 15:38:00.513495,-44563.2008
AS,2019-Jan-30 15:39:02.132468,-6504.237603
AS,2019-Jan-30 15:40:03.133801,7413.133997
AS,2019-Jan-30 15:41:03.418136,3862.404797
AS,2019-Jan-30 15:42:03.779227,-1454.871603
AS,2019-Jan-30 15:43:05.461398,-1474.558802
AS,2019-Jan-30 15:44:07.269562,19940.5044
AS,2019-Jan-30 15:45:07.986295,43213.8136
AS,2019-Jan-30 15:46:10.998103,34115.9992
AS,2019-Jan-30 15:47:13.135737,13877.05
AS,2019-Jan-30 15:48:15.335917,8282.977596
AS,2019-Jan-30 15:49:19.218951,15671.442
AS,2019-Jan-30 15:50:20.331376,6310.718794
AS,2019-Jan-30 15:51:23.024092,6290.567593
AS,2019-Jan-30 15:52:24.678398,6250.002393
AS,2019-Jan-30 15:53:25.610640,-16732.59961
AS,2019-Jan-30 15:54:26.681137,-22559.58921
AS,2019-Jan-30 15:55:31.522753,12400.73199
AS,2019-Jan-30 15:56:33.306480,2555.851594
AS,2019-Jan-30 15:57:33.719923,-3381.730407
AS,2019-Jan-30 15:58:34.414778,-9346.437207
AS,2019-Jan-30 15:59:35.503788,-7406.914407
AS,2019-Jan-30 16:00:36.219638,18517.68239
AS,2019-Jan-30 16:01:36.599262,80899.13039
AS,2019-Jan-30 16:02:37.025562,101363.3152
AS,2019-Jan-30 16:03:37.512423,84585.95039
AS,2019-Jan-30 16:04:38.098188,95074.94559
AS,2019-Jan-30 16:05:38.757406,101429.9252
AS,2019-Jan-30 16:06:39.055405,90685.60519
AS,2019-Jan-30 16:07:39.800591,84139.31399
AS,2019-Jan-30 16:08:40.315777,88454.54159
AS,2019-Jan-30 16:09:42.495496,92777.03399
AS,2019-Jan-30 16:10:44.325135,103658.4232
AS,2019-Jan-30 16:11:44.917331,101368.3568
AS,2019-Jan-30 16:12:45.080339,112471.8628
AS,2019-Jan-30 16:13:48.187911,112437.552
AS,2019-Jan-30 16:14:48.998390,128190.3212
AS,2019-Jan-30 16:15:50.143856,137196.092
AS,2019-Jan-30 16:16:50.780156,137173.5324
AS,2019-Jan-30 16:17:52.155550,139424.5728
AS,2019-Jan-30 16:18:54.288165,155550.5564
AS,2019-Jan-30 16:19:54.805042,130012.8468
AS,2019-Jan-30 16:20:55.644256,134611.5456
AS,2019-Jan-30 16:21:57.093152,134618.4892
AS,2019-Jan-30 16:22:57.707120,127472.4024
AS,2019-Jan-30 16:24:00.062989,134577.5592
AS,2019-Jan-30 16:25:01.694059,146500.8732
AS,2019-Jan-30 16:26:02.750224,120008.2896
AS,2019-Jan-30 16:27:06.748509,127260.3304
AS,2019-Jan-30 16:28:07.374930,124825.9164
AS,2019-Jan-30 16:29:08.689469,115006.0408
AS,2019-Jan-30 16:30:09.319130,119891.2784
AS,2019-Jan-30 16:31:10.937556,107506.28
