Name,Time,Cumulative PnL
Sigmoid,2019-Jan-30 14:30:07.090500,-8.958834
Sigmoid,2019-Jan-30 14:31:07.637473,-255.802044
Sigmoid,2019-Jan-30 14:32:08.829895,-237.924292
Sigmoid,2019-Jan-30 14:33:09.426106,-468.246673
Sigmoid,2019-Jan-30 14:34:09.615772,-416.108351
Sigmoid,2019-Jan-30 14:35:10.151375,-735.008510
Sigmoid,2019-Jan-30 14:36:11.111589,-815.125266
Sigmoid,2019-Jan-30 14:37:11.397669,-620.029386
Sigmoid,2019-Jan-30 14:38:11.722256,-708.110829
Sigmoid,2019-Jan-30 14:39:12.424850,-489.831749
Sigmoid,2019-Jan-30 14:40:13.430313,-731.728219
Sigmoid,2019-Jan-30 14:41:13.588333,-509.170034
Sigmoid,2019-Jan-30 14:42:13.958034,-981.957082
Sigmoid,2019-Jan-30 14:43:14.168802,-715.842192
Sigmoid,2019-Jan-30 14:44:14.283568,-1264.230078
Sigmoid,2019-Jan-30 14:45:14.477771,-1066.869573
Sigmoid,2019-Jan-30 14:46:15.640547,-1320.999838
Sigmoid,2019-Jan-30 14:47:16.107465,-1175.170532
Sigmoid,2019-Jan-30 14:48:17.460146,-2228.124677
Sigmoid,2019-Jan-30 14:49:17.679118,-2541.882923
Sigmoid,2019-Jan-30 14:50:17.907183,-2251.929123
Sigmoid,2019-Jan-30 14:51:18.177346,-2170.330705
Sigmoid,2019-Jan-30 14:52:18.341640,-2352.568207
Sigmoid,2019-Jan-30 14:53:19.632846,-2762.553799
Sigmoid,2019-Jan-30 14:54:20.727659,-2378.891667
Sigmoid,2019-Jan-30 14:55:21.107066,-1770.532640
Sigmoid,2019-Jan-30 14:56:21.766089,-3225.287475
Sigmoid,2019-Jan-30 14:57:22.580637,-3573.501747
Sigmoid,2019-Jan-30 14:58:23.036622,-4494.013245
Sigmoid,2019-Jan-30 14:59:24.072414,-4506.101066
Sigmoid,2019-Jan-30 15:00:25.004091,-5389.578908
Sigmoid,2019-Jan-30 15:01:25.768608,-4644.383454
Sigmoid,2019-Jan-30 15:02:25.972144,-4861.846905
Sigmoid,2019-Jan-30 15:03:26.121905,-7522.163586
Sigmoid,2019-Jan-30 15:04:27.411601,-7215.182143
Sigmoid,2019-Jan-30 15:05:29.118050,-8708.283617
Sigmoid,2019-Jan-30 15:06:29.722073,-6178.783681
Sigmoid,2019-Jan-30 15:07:30.004826,-6426.193900
Sigmoid,2019-Jan-30 15:08:30.128096,-6091.119732
Sigmoid,2019-Jan-30 15:09:31.049355,-6591.699372
Sigmoid,2019-Jan-30 15:10:31.590906,-6894.177879
Sigmoid,2019-Jan-30 15:11:32.531493,-5672.045524
Sigmoid,2019-Jan-30 15:12:32.941268,-4554.033989
Sigmoid,2019-Jan-30 15:13:33.324668,-4386.626877
Sigmoid,2019-Jan-30 15:14:33.774329,-4821.761966
Sigmoid,2019-Jan-30 15:15:34.495555,-5239.060670
Sigmoid,2019-Jan-30 15:16:35.107448,-4770.356057
Sigmoid,2019-Jan-30 15:17:36.898306,-6031.465903
Sigmoid,2019-Jan-30 15:18:38.643451,-7870.709299
Sigmoid,2019-Jan-30 15:19:39.062437,-5977.707293
Sigmoid,2019-Jan-30 15:20:39.388915,-4729.232114
